en,f0,file,time
0.0,0.0,cy0234pw,0.02
0.0,0.0,cy0234pw,0.04
59.0,0.0,cy0234pw,0.06
59.0,0.0,cy0234pw,0.08
58.0,0.0,cy0234pw,0.1
58.0,0.0,cy0234pw,0.12
59.0,0.0,cy0234pw,0.14
59.0,0.0,cy0234pw,0.16
59.0,0.0,cy0234pw,0.18
60.0,0.0,cy0234pw,0.2
60.0,0.0,cy0234pw,0.22
58.0,0.0,cy0234pw,0.24
59.0,0.0,cy0234pw,0.26
58.0,0.0,cy0234pw,0.28
57.0,0.0,cy0234pw,0.3
57.0,0.0,cy0234pw,0.32
59.0,0.0,cy0234pw,0.34
59.0,0.0,cy0234pw,0.36
59.0,0.0,cy0234pw,0.38
58.0,0.0,cy0234pw,0.4
59.0,83.0,cy0234pw,0.42
60.0,0.0,cy0234pw,0.44
60.0,0.0,cy0234pw,0.46
60.0,0.0,cy0234pw,0.48
59.0,0.0,cy0234pw,0.5
57.0,0.0,cy0234pw,0.52
60.0,0.0,cy0234pw,0.54
61.0,0.0,cy0234pw,0.56
59.0,0.0,cy0234pw,0.58
57.0,0.0,cy0234pw,0.6
56.0,0.0,cy0234pw,0.62
57.0,0.0,cy0234pw,0.64
60.0,0.0,cy0234pw,0.66
60.0,0.0,cy0234pw,0.68
60.0,0.0,cy0234pw,0.7
59.0,0.0,cy0234pw,0.72
59.0,0.0,cy0234pw,0.74
61.0,0.0,cy0234pw,0.76
61.0,0.0,cy0234pw,0.78
60.0,0.0,cy0234pw,0.8
60.0,0.0,cy0234pw,0.82
61.0,0.0,cy0234pw,0.84
62.0,0.0,cy0234pw,0.86
63.0,0.0,cy0234pw,0.88
62.0,0.0,cy0234pw,0.9
61.0,0.0,cy0234pw,0.92
61.0,0.0,cy0234pw,0.94
61.0,0.0,cy0234pw,0.96
60.0,0.0,cy0234pw,0.98
58.0,0.0,cy0234pw,1.0
59.0,0.0,cy0234pw,1.02
59.0,0.0,cy0234pw,1.04
59.0,0.0,cy0234pw,1.06
59.0,0.0,cy0234pw,1.08
68.0,0.0,cy0234pw,1.1
70.0,0.0,cy0234pw,1.12
64.0,0.0,cy0234pw,1.14
74.0,0.0,cy0234pw,1.16
80.0,185.0,cy0234pw,1.18
80.0,175.0,cy0234pw,1.2
80.0,169.0,cy0234pw,1.22
77.0,167.0,cy0234pw,1.24
72.0,176.0,cy0234pw,1.26
67.0,0.0,cy0234pw,1.28
61.0,0.0,cy0234pw,1.3
61.0,0.0,cy0234pw,1.32
74.0,0.0,cy0234pw,1.34
80.0,87.0,cy0234pw,1.36
82.0,173.0,cy0234pw,1.38
83.0,170.0,cy0234pw,1.4
82.0,171.0,cy0234pw,1.42
83.0,176.0,cy0234pw,1.44
83.0,182.0,cy0234pw,1.46
83.0,189.0,cy0234pw,1.48
80.0,201.0,cy0234pw,1.5
76.0,222.0,cy0234pw,1.52
72.0,258.0,cy0234pw,1.54
67.0,256.0,cy0234pw,1.56
61.0,0.0,cy0234pw,1.58
60.0,0.0,cy0234pw,1.6
59.0,0.0,cy0234pw,1.62
60.0,0.0,cy0234pw,1.64
60.0,0.0,cy0234pw,1.66
61.0,0.0,cy0234pw,1.68
57.0,0.0,cy0234pw,1.7
0.0,0.0,cy0234pw,1.72
0.0,0.0,cy0234pw,1.74
0.0,0.0,li1402at,0.02
0.0,0.0,li1402at,0.04
40.0,0.0,li1402at,0.06
40.0,0.0,li1402at,0.08
39.0,0.0,li1402at,0.1
39.0,0.0,li1402at,0.12
38.0,0.0,li1402at,0.14
39.0,0.0,li1402at,0.16
41.0,0.0,li1402at,0.18
39.0,0.0,li1402at,0.2
38.0,0.0,li1402at,0.22
37.0,0.0,li1402at,0.24
38.0,0.0,li1402at,0.26
40.0,0.0,li1402at,0.28
41.0,0.0,li1402at,0.3
40.0,0.0,li1402at,0.32
37.0,0.0,li1402at,0.34
39.0,0.0,li1402at,0.36
41.0,0.0,li1402at,0.38
42.0,0.0,li1402at,0.4
41.0,0.0,li1402at,0.42
42.0,0.0,li1402at,0.44
41.0,0.0,li1402at,0.46
39.0,0.0,li1402at,0.48
40.0,0.0,li1402at,0.5
40.0,0.0,li1402at,0.52
41.0,0.0,li1402at,0.54
43.0,0.0,li1402at,0.56
40.0,0.0,li1402at,0.58
42.0,0.0,li1402at,0.6
41.0,0.0,li1402at,0.62
40.0,0.0,li1402at,0.64
40.0,0.0,li1402at,0.66
40.0,0.0,li1402at,0.68
40.0,0.0,li1402at,0.7
40.0,0.0,li1402at,0.72
38.0,0.0,li1402at,0.74
38.0,0.0,li1402at,0.76
41.0,0.0,li1402at,0.78
43.0,0.0,li1402at,0.8
42.0,0.0,li1402at,0.82
47.0,0.0,li1402at,0.84
56.0,0.0,li1402at,0.86
59.0,0.0,li1402at,0.88
72.0,394.0,li1402at,0.9
80.0,393.0,li1402at,0.92
80.0,421.0,li1402at,0.94
79.0,436.0,li1402at,0.96
74.0,432.0,li1402at,0.98
59.0,0.0,li1402at,1.0
48.0,0.0,li1402at,1.02
45.0,0.0,li1402at,1.04
59.0,0.0,li1402at,1.06
70.0,395.0,li1402at,1.08
70.0,373.0,li1402at,1.1
70.0,374.0,li1402at,1.12
72.0,373.0,li1402at,1.14
72.0,372.0,li1402at,1.16
72.0,371.0,li1402at,1.18
